ID;Owner;Artist;Title;Duration;URL;Lyrics;Genre
356424477;40468062;"Oh Wonder";"Shark (Illenium Remix)";307;http://cs1-48v4.vk-cdn.net/p4/45411df19c7ade.mp3?extra=H71AuedV_A0haDAKpJlNpbeTi374oC_hvUaxKg8RRJ6mncO4rLxq6EfUkWwv3sBK9whbgirSTYcCwQ5BCTtgOn97knfx_SXbsA;;9
352144684;40468062;"Cory Jarnagin and Dylan Rippon";"Whatever Happens Tonight";100;http://cs1-32v4.vk-cdn.net/p3/442f9fba50b6f6.mp3?extra=P2W7yQjUF-2xi-W4WeQzhHBbDyrz0Dqxu0m6zOzM8OzURkFKzm8ksnBJj3HPoTu9zRs6teoXCaHscUccGOSfrwMDJc0t6lrNzA;188415976;9
342239023;40468062;"Kieran Alleyne ";"Runnin Low";229;http://cs1-50v4.vk-cdn.net/p22/343fe2db319f88.mp3?extra=Qynkf3hPBzdqsmYep-yZs6802Ms3U_aWnpulLu8SDj9eDknQ-bUUL0JsWv_W2sI80Fz7f84UMoSE5GNI8KmsDKJG9UoOLrN0Nw;;9
338144510;40468062;"Fall Out Boy";Centuries;232;http://cs1-43v4.vk-cdn.net/p13/a2c2612b3d4957.mp3?extra=lnz7N5RBeEUwW_MdsxwLiYLoymeVUSReQX8caNJwCkjQ-R4b9_T7hBAkofdyWDNwH19eLJn6lzmylIpxM0-30zPQf3Vd3jRBSw;197045420;1
332113477;40468062;"Антон Лаврентьев  ";"Уходя в Будапешт";132;http://cs1-49v4.vk-cdn.net/p22/0e6f266886dbb1.mp3?extra=BTOwaLV6vxFG5OhvtxFNhF9FnjjbsEAe6T8DtJxQ_G_WEw0Q2EFXUgKH18_-uNbrsP9X9H2zZnAEP6DCJstcPJ8EzVxx_3KmwQ;;9
331955599;40468062;"Icona Pop";"I love It ( l Dont care)";156;http://cs1-19v4.vk-cdn.net/p5/11c5824b44e6bd.mp3?extra=FVsPFQHQgvgz5TRw6gzExZ4c-2c5c1EX-fy0Ar7bBeTZ-U8abiDwqziljY7ZH6k-Pe29HyIgiws11xLP_OTys2KKg409yN6-ng;209656499;18
327643891;40468062;"Lily Wood &amp; The Prick and Robin Schulz";"Player In C";193;http://cs1-50v4.vk-cdn.net/p18/e0fe8641892cb0.mp3?extra=8T_HBJi_X3LcIMjWJbpGTkVd0V3vcGAwJGjpZzEivr2p0DcmWU3oOa7_nP-_g2NaR1cNIeUSKUmDX5MrgfQzQGzGt52cAKlymg;;9
318631857;40468062;OneRepublic;"Love Runs Out";225;http://cs1-46v4.vk-cdn.net/p4/06f13af5e06c5b.mp3?extra=-XRV0hRUdCPNi1mB0ufvRxOODYTPLiDYmtq3Tn2uKlQRHH1FIf3UMl64YiFC4uZJI1B3yA_n002swgX1iqKBlvNohjkJWNFUGw;165574563;2
318631672;40468062;Woodkid;"Run Boy Run[OST Reign/Царство]";212;http://cs1-42v4.vk-cdn.net/p19/f05fbc48be149d.mp3?extra=3aN6XaJT636WGEQF0VTB-1r7Z7TpZr4KjHjUeuMrxxBNaiHCvuCrFmoOLBrjdCwXpiMsBs_hZPF3OMAlZKnv6Slt54zLmtdetA;199396752;9
318630179;40468062;"трек от Мигеля";неизвестно;61;http://cs1-44v4.vk-cdn.net/p23/f31fe5e45695ef.mp3?extra=PKKBlFbjhoxy-xigUFGjZkY8Xhrbh8Ua6lICclZeXVfLBeQjfGZG8tysBmibCYJ1pScubEWWVX7lUkHCWUDUsqKyHX_fZb7vRg;;18
318629786;40468062;" Jacob Miller, Matt Naylor, Steven Stern";"Slipping Away";235;http://cs1-44v4.vk-cdn.net/p8/e6d888cfd528f7.mp3?extra=PKbhlNru3p5p3Nr2cfGoIkrT-40O8opw-zVTe1iKx2dAzvww1v6_AoPJDw5KRJ2wdTfCAxT7Pdh00ShM3kV_YkYfLzEBzLy6OA;205310536;9
317076258;40468062;"Pharrell Williams";"Happy (Despicable Me 2 OST)";232;http://cs1-37v4.vk-cdn.net/p19/2e888cfb634b55.mp3?extra=1Rk-ipg6K7yGepo-ndKGeU6X6nxIPphEjS36hvrzj2tSkyOBV9QuGG2zAHjGAtLdQ4EYGzAi2RDbhbPum2efVfoAwqCJUgHWsw;113872215;9
316323094;40468062;"[1x01] The Lumineers ";Scotland;259;http://cs1-21v4.vk-cdn.net/p18/b579c363976781.mp3?extra=2OaBmSOLKKclNP-tRE5CagFKbllIpNlYFxZOFgqaBrRRBVIpeVDDVKgQRc4VHhql_0DXsMskEAOyXI_nSMH7s3c8vPwylssUnA;;
313894963;40468062;Lowa;Улыбайся;200;http://cs1-22v4.vk-cdn.net/p8/8ad2475c954123.mp3?extra=CuLP37jAMEHoH3wZ6TPfia0JHhmyTBSg4BhqIGmAPVyAEUxEhe2OXqL_6eVYWqwpBjJFVfTAtzA9PBdqYxq_s3XrflViLfAAMA;82356905;
313894672;40468062;lowa;"эта песня простая чтобы каждый растаял во дворе чтоб играли пацаны на гитаре";202;http://cs1-35v4.vk-cdn.net/p10/c1791c527cc871.mp3?extra=B3nkp2OfjMHKg2jj3R0HuNvaq0vuTRW1ScgKedMKSKUIV2Ry7S57X2as4lGh1GpRxQ3211upf4HFbhw8sbxL1ceErV3PYWhiLg;20062608;18
310032982;40468062;"Jammie N Commons";"Lead Me Home";121;http://cs1-44v4.vk-cdn.net/p17/be464dec3a0d5d.mp3?extra=277uluK4ooqIhTsGmxilEtf7hpk54z0m1fGOlBmJGo_SddD7wKT3WyMW6a01jH6s7y8mwjgk9qKxIKbnqHGsU8R9TXwEp8XHJw;;
310032973;40468062;"Jammie N Commons";"All along the watchtower";205;http://cs1-23v4.vk-cdn.net/p17/ba425e6d43b0e8.mp3?extra=bO-f3TxVnZ2stlQVQeqyhff9PtEVtgg7UPikem-4U8YAqDe6uXDcxYT470nkLjCZ4H9zhCrnVH9SGoosBY0zxLDZJoAcPOWtvQ;;9
309891653;40468062;"Jammie N Commons";"Into The Jungle";189;http://cs1-50v4.vk-cdn.net/p4/7bf709190eaa6b.mp3?extra=Cv01gba1o0w7vG4SymU4u-vyYcLM1glRgZcdZkOx8NG6sCc3CWwYgIFzPQmMF5DlvDKfUfi1sYPbCMAKQtkwDXV2WL3NaBMYOQ;;21
302697927;40468062;"Chet Faker";Gold;286;http://cs1-42v4.vk-cdn.net/p2/65fa024be311ba.mp3?extra=_By7eAsPT7m6mpOTWS5pqxHYceCjmWbc-PLTAoa3WC7xzDA8C0dpvQRIgI04rIa5N8-NXQCDOBkEMAKRwNNrq7GS_JDadD1wjQ;163984102;18
302697797;40468062;"Justin Nozuka";"Sweet Lover";208;http://cs1-16v4.vk-cdn.net/p36/4f8720a95e87cc.mp3?extra=NzjeFMb-QRL5_MfqcDmGLBBsFv988IVPsxV6yGzmQkwQaXIvmrLPcwYJRs2R5kmjYmLkAV6-NLUO72Q3AkTedICD55RYU13Ipw;165078863;17
302697694;40468062;"Jerome Holloway";"Who Will Love Me";270;http://cs1-48v4.vk-cdn.net/p21/00be8b76a75a78.mp3?extra=_QqV6epJ_2ormMT6WQopAcIwwcEeZjBH9bA2of7VUdjm7t44pVh7mn5cqCEj6fxBbaRRQ2O6JgocUmjZyhoZOWxh1784uV4-yg;;18
302696732;40468062;"Bessie Jones ";" This May Be The Last Time, I Don't Know";133;http://cs1-24v4.vk-cdn.net/p36/4de1692f6a9735.mp3?extra=spJvaUNTI-5UD6ZTyABXS-0NhjwpmTbR8qULHYbS0XZ2h_dxqS6Z84ZHPiHhp6X_zo9C3ME5vn0h-qFCvqABAZxf43VZGCU5dg;;9
296348407;40468062;NONONO;"Pumpin Blood";209;http://cs1-39v4.vk-cdn.net/p24/de164ffd20cd99.mp3?extra=xhY7Yml9NXVJAsQ4kPZE5ErEQZtOr3KnwzZZRw5rmSBG_TQCXBopICoaACeqKbdVfoZaWZDFyneZKCHjg4_wFKCw9TQREcJdsg;79216592;
295698326;40468062;"Анна Седокова";"Мое сердце в бинтах";196;http://cs1-33v4.vk-cdn.net/p23/f04d9799b0c91d.mp3?extra=cqHfexMy6lh7beNaM-oU0r6eD1XmhoUWNy0v37HMq-vvZhU__tF1xKX3HBJX3DQCwT6ViMEOlOkzQS3JsVG_sevGwY3Z204qkQ;131466326;9
294135285;40468062;"vance joy";riptide;204;http://cs1-19v4.vk-cdn.net/p1/d741134114c732.mp3?extra=V9sNrcTYDeBu61yx9kPoVWtI6fYXLAmec5g9HftJBsJP5clpLShHet_0TcjCGO_L_p0YgxMpL0FQK60zwuC2kttJ-PfFjBVzng;;21
291171222;40468062;"The Kooks";"I Know She Knows";205;http://cs1-41v4.vk-cdn.net/p3/c11cfc794b4004.mp3?extra=LWSL0m3mAPK16_CW64NRQsckWCXuag4K2a8ymF7SNyKQdhghaB3sKCz2osxCjJ6OFzqVAHfyXKcoOz86-p3vDZXPJjdyVWOOqQ;2353483;2
289106023;40468062;"Alt-J (∆)";Taro;305;http://cs1-50v4.vk-cdn.net/p22/f41b27f54bf611.mp3?extra=4Q3ZNdaCSlpbpK0KGzZbu0CI4YX4u5s3cHrWgZ5QXmy9R6g49E-pXnb5DsAucPind-wl8cd7fsqTfK0WeI_tpjpbDKLd_fkzEg;25456050;18
289102515;40468062;"Xavier Rudd";"Spirit bird";430;http://cs1-36v4.vk-cdn.net/p17/3baeaee84e4afa.mp3?extra=WBmZ8pzxSov0_lTsOZLFZDu8g_qpTgYQ1G2L1keAx0hJI04pVUZiXnNid9FB9Bz6Wr92ANWeuV6YcIZXdK9y2eFLGCSlp7Ht1Q;27999570;18
289100482;40468062;" Mumford and Sons";"Hopeless Wanderer";314;http://cs1-34v4.vk-cdn.net/p3/8c274010cbd226.mp3?extra=VCyt_ZBkx7Mcmu2n14bBarl8WdntcrfXPRrckPSw_AKctcM9WxI1RIg0EsZFmHG3x6JBQlIGjiG6JZmUDAV-_sF-yXl-B5qynQ;109099027;9
289094108;40468062;"Edward Sharpe and The Magnetic Zeros";Home;303;http://cs1-36v4.vk-cdn.net/p2/bfb98c33d23ef2.mp3?extra=6AnRUamt8q8URtrqNeR5mpd0EvD-E0wv2MCWSqGJlzeVeh7zhtllvgRyEPmACye8ukHeLtDKdqS5PXSA052S5dSYHlCxlA5KfA;5908812;18
289091912;40468062;"Iron &amp; Wine";"The Sea and the Rhythm";325;http://cs1-32v4.vk-cdn.net/p24/49821686e8a6a2.mp3?extra=US2UZH36d33yuS7FIE7U5XWaLlJ1DMAMBhVEkTG5HPLS8hjaIgp3mIBMfurP0JVtztwwFaFmJ8oyHSudul17L_FusffGBVgvbw;6248078;18
289090349;40468062;"Nahko Bear (Medicine for the People)";"Aloha Ke Akua";637;http://cs1-22v4.vk-cdn.net/p5/7cc47dd0e3e0c2.mp3?extra=DfE2GkNwxqGNvj-gV5b928fXvT4-u5u9S4r09FGfQi24LufSj5NseHgier7yEOVo6rntzTuu9txow-VaqIVmcfgkaY1BvZtu6A;56745811;
